id,name,journey_id,offset_days_start,offset_days_end
stage-cloud-preboard,preboard,journey-cloud-new-hire,-14,-1
stage-cloud-day_1,day_1,journey-cloud-new-hire,0,1
stage-cloud-week_1,week_1,journey-cloud-new-hire,2,7
stage-cloud-day_30,day_30,journey-cloud-new-hire,8,30
stage-cloud-day_60,day_60,journey-cloud-new-hire,31,60
stage-cloud-day_90,day_90,journey-cloud-new-hire,61,90
stage-data-preboard,preboard,journey-data-new-hire,-14,-1
stage-data-day_1,day_1,journey-data-new-hire,0,1
stage-data-week_1,week_1,journey-data-new-hire,2,7
stage-data-day_30,day_30,journey-data-new-hire,8,30
stage-data-day_60,day_60,journey-data-new-hire,31,60
stage-data-day_90,day_90,journey-data-new-hire,61,90
stage-cyber-preboard,preboard,journey-cyber-new-hire,-14,-1
stage-cyber-day_1,day_1,journey-cyber-new-hire,0,1
stage-cyber-week_1,week_1,journey-cyber-new-hire,2,7
stage-cyber-day_30,day_30,journey-cyber-new-hire,8,30
stage-cyber-day_60,day_60,journey-cyber-new-hire,31,60
stage-cyber-day_90,day_90,journey-cyber-new-hire,61,90
stage-strategy-preboard,preboard,journey-strategy-new-hire,-14,-1
stage-strategy-day_1,day_1,journey-strategy-new-hire,0,1
stage-strategy-week_1,week_1,journey-strategy-new-hire,2,7
stage-strategy-day_30,day_30,journey-strategy-new-hire,8,30
stage-strategy-day_60,day_60,journey-strategy-new-hire,31,60
stage-strategy-day_90,day_90,journey-strategy-new-hire,61,90
stage-appdev-preboard,preboard,journey-appdev-new-hire,-14,-1
stage-appdev-day_1,day_1,journey-appdev-new-hire,0,1
stage-appdev-week_1,week_1,journey-appdev-new-hire,2,7
stage-appdev-day_30,day_30,journey-appdev-new-hire,8,30
stage-appdev-day_60,day_60,journey-appdev-new-hire,31,60
stage-appdev-day_90,day_90,journey-appdev-new-hire,61,90
