from_id,to_id
person-0076,skill-azure
person-0077,skill-python
person-0078,skill-iam
person-0079,skill-roadmap
person-0080,skill-react
person-0081,skill-gcp
person-0082,skill-sql
person-0083,skill-devsecops
person-0084,skill-change
person-0085,skill-cicd
person-0086,skill-k8s
person-0087,skill-dbt
person-0088,skill-pentest
person-0089,skill-ma
person-0090,skill-cicd
person-0091,skill-gcp
person-0092,skill-python
person-0093,skill-pentest
person-0094,skill-ma
person-0095,skill-java
person-0096,skill-aws
person-0097,skill-spark
person-0098,skill-pentest
person-0099,skill-proposal
person-0100,skill-python
person-0101,skill-terraform
person-0102,skill-spark
person-0103,skill-devsecops
person-0104,skill-ma
person-0105,skill-python
person-0106,skill-k8s
person-0107,skill-dbt
person-0108,skill-pentest
person-0109,skill-roadmap
person-0110,skill-python
person-0111,skill-gcp
person-0112,skill-python
person-0113,skill-devsecops
person-0114,skill-ma
person-0115,skill-python
person-0116,skill-terraform
person-0117,skill-databricks
person-0118,skill-soc
person-0119,skill-roadmap
person-0120,skill-python
person-0121,skill-aws
person-0122,skill-spark
person-0123,skill-iam
person-0124,skill-roadmap
person-0125,skill-cicd
person-0126,skill-k8s
person-0127,skill-databricks
person-0128,skill-soc
person-0129,skill-ma
person-0130,skill-python
person-0131,skill-terraform
person-0132,skill-python
person-0133,skill-iam
person-0134,skill-ma
person-0135,skill-python
person-0136,skill-azure
person-0137,skill-databricks
person-0138,skill-pentest
person-0139,skill-ops-model
person-0140,skill-react
person-0141,skill-terraform
person-0142,skill-databricks
person-0143,skill-soc
person-0144,skill-ma
person-0145,skill-react
person-0146,skill-terraform
person-0147,skill-python
person-0148,skill-devsecops
person-0149,skill-change
person-0150,skill-java
person-0151,skill-azure
person-0152,skill-databricks
person-0153,skill-pentest
person-0154,skill-proposal
person-0155,skill-cicd
person-0036,skill-azure
person-0037,skill-dbt
person-0038,skill-devsecops
person-0039,skill-proposal
person-0040,skill-cicd
person-0041,skill-azure
person-0042,skill-python
person-0043,skill-iam
person-0044,skill-ops-model
person-0045,skill-cicd
person-0046,skill-aws
person-0047,skill-dbt
person-0048,skill-pentest
person-0049,skill-ops-model
person-0050,skill-cicd
person-0051,skill-azure
person-0052,skill-databricks
person-0053,skill-devsecops
person-0054,skill-ma
person-0055,skill-python
person-0056,skill-azure
person-0057,skill-dbt
person-0058,skill-soc
person-0059,skill-roadmap
person-0060,skill-java
person-0061,skill-aws
person-0062,skill-spark
person-0063,skill-pentest
person-0064,skill-ma
person-0065,skill-typescript
person-0066,skill-gcp
person-0067,skill-spark
person-0068,skill-iam
person-0069,skill-ops-model
person-0070,skill-java
person-0071,skill-gcp
person-0072,skill-databricks
person-0073,skill-soc
person-0074,skill-ma
person-0075,skill-typescript
person-0016,skill-azure
person-0017,skill-databricks
person-0018,skill-soc
person-0019,skill-change
person-0020,skill-python
person-0021,skill-terraform
person-0022,skill-sql
person-0023,skill-soc
person-0024,skill-ops-model
person-0025,skill-java
person-0026,skill-gcp
person-0027,skill-sql
person-0028,skill-devsecops
person-0029,skill-change
person-0030,skill-python
person-0031,skill-k8s
person-0032,skill-python
person-0033,skill-iam
person-0034,skill-ma
person-0035,skill-cicd
person-0006,skill-gcp
person-0007,skill-sql
person-0008,skill-devsecops
person-0009,skill-proposal
person-0010,skill-java
person-0011,skill-gcp
person-0012,skill-python
person-0013,skill-devsecops
person-0014,skill-ma
person-0015,skill-python
person-0001,skill-azure
person-0002,skill-python
person-0003,skill-pentest
person-0004,skill-change
person-0005,skill-cicd
person-0000,skill-azure
person-0076,skill-unity-catalog
