from_id,to_id
person-0266,skill-terraform
person-0266,skill-gcp
person-0266,skill-k8s
person-0266,skill-aws
person-0267,skill-spark
person-0267,skill-dbt
person-0267,skill-sql
person-0268,skill-soc
person-0268,skill-iam
person-0269,skill-ops-model
person-0269,skill-roadmap
person-0269,skill-change
person-0269,skill-ma
person-0270,skill-react
person-0270,skill-python
person-0271,skill-k8s
person-0271,skill-aws
person-0271,skill-gcp
person-0272,skill-python
person-0272,skill-dbt
person-0273,skill-pentest
person-0273,skill-devsecops
person-0273,skill-soc
person-0274,skill-ops-model
person-0274,skill-change
person-0275,skill-typescript
person-0275,skill-react
person-0275,skill-cicd
person-0275,skill-java
person-0276,skill-gcp
person-0276,skill-azure
person-0276,skill-k8s
person-0276,skill-aws
person-0277,skill-spark
person-0277,skill-databricks
person-0277,skill-sql
person-0277,skill-python
person-0278,skill-iam
person-0278,skill-pentest
person-0278,skill-soc
person-0278,skill-devsecops
person-0279,skill-proposal
person-0279,skill-change
person-0279,skill-roadmap
person-0279,skill-ma
person-0280,skill-typescript
person-0280,skill-react
person-0281,skill-gcp
person-0281,skill-terraform
person-0281,skill-aws
person-0281,skill-azure
person-0282,skill-spark
person-0282,skill-sql
person-0282,skill-python
person-0282,skill-dbt
person-0283,skill-soc
person-0283,skill-iam
person-0283,skill-pentest
person-0284,skill-proposal
person-0284,skill-roadmap
person-0284,skill-change
person-0285,skill-cicd
person-0285,skill-react
person-0286,skill-aws
person-0286,skill-k8s
person-0286,skill-gcp
person-0287,skill-dbt
person-0287,skill-databricks
person-0288,skill-devsecops
person-0288,skill-iam
person-0288,skill-soc
person-0289,skill-change
person-0289,skill-roadmap
person-0289,skill-ma
person-0289,skill-proposal
person-0290,skill-java
person-0290,skill-python
person-0290,skill-typescript
person-0290,skill-cicd
person-0291,skill-aws
person-0291,skill-azure
person-0291,skill-terraform
person-0291,skill-gcp
person-0292,skill-spark
person-0292,skill-databricks
person-0292,skill-python
person-0293,skill-devsecops
person-0293,skill-pentest
person-0294,skill-ops-model
person-0294,skill-ma
person-0294,skill-proposal
person-0294,skill-change
person-0295,skill-cicd
