from_id,to_id
person-0266,role-analyst
person-0267,role-analyst
person-0268,role-analyst
person-0269,role-analyst
person-0270,role-analyst
person-0271,role-analyst
person-0272,role-analyst
person-0273,role-analyst
person-0274,role-analyst
person-0275,role-analyst
person-0276,role-analyst
person-0277,role-analyst
person-0278,role-analyst
person-0279,role-analyst
person-0280,role-analyst
person-0281,role-analyst
person-0282,role-analyst
person-0283,role-analyst
person-0284,role-analyst
person-0285,role-analyst
person-0286,role-analyst
person-0287,role-analyst
person-0288,role-analyst
person-0289,role-analyst
person-0290,role-analyst
person-0291,role-analyst
person-0292,role-analyst
person-0293,role-analyst
person-0294,role-analyst
person-0295,role-analyst
person-0296,role-analyst
person-0297,role-analyst
person-0298,role-analyst
person-0299,role-analyst
person-0300,role-analyst
person-0301,role-analyst
person-0302,role-analyst
person-0303,role-analyst
person-0304,role-analyst
person-0305,role-analyst
person-0306,role-analyst
person-0307,role-analyst
person-0308,role-analyst
person-0309,role-analyst
person-0310,role-analyst
person-0311,role-analyst
person-0312,role-analyst
person-0313,role-analyst
person-0314,role-analyst
person-0315,role-analyst
person-0316,role-analyst
person-0317,role-analyst
person-0318,role-analyst
person-0319,role-analyst
person-0320,role-analyst
person-0321,role-analyst
person-0322,role-analyst
person-0323,role-analyst
person-0324,role-analyst
person-0325,role-analyst
person-0326,role-analyst
person-0327,role-analyst
person-0328,role-analyst
person-0329,role-analyst
person-0330,role-analyst
person-0331,role-analyst
person-0332,role-analyst
person-0333,role-analyst
person-0334,role-analyst
person-0335,role-analyst
person-0336,role-analyst
person-0337,role-analyst
person-0338,role-analyst
person-0339,role-analyst
person-0340,role-analyst
person-0341,role-analyst
person-0342,role-analyst
person-0343,role-analyst
person-0344,role-analyst
person-0345,role-analyst
person-0346,role-analyst
person-0347,role-analyst
person-0348,role-analyst
person-0349,role-analyst
person-0350,role-analyst
person-0351,role-analyst
person-0352,role-analyst
person-0353,role-analyst
person-0354,role-analyst
person-0355,role-analyst
person-0356,role-analyst
person-0357,role-analyst
person-0358,role-analyst
person-0359,role-analyst
person-0360,role-analyst
person-0361,role-analyst
person-0362,role-analyst
person-0363,role-analyst
person-0364,role-analyst
person-0365,role-analyst
person-0366,role-analyst
person-0367,role-analyst
person-0368,role-analyst
person-0369,role-analyst
person-0156,role-consultant
person-0157,role-consultant
person-0158,role-consultant
person-0159,role-consultant
person-0160,role-consultant
person-0161,role-consultant
person-0162,role-consultant
person-0163,role-consultant
person-0164,role-consultant
person-0165,role-consultant
person-0166,role-consultant
person-0167,role-consultant
person-0168,role-consultant
person-0169,role-consultant
person-0170,role-consultant
person-0171,role-consultant
person-0172,role-consultant
person-0173,role-consultant
person-0174,role-consultant
person-0175,role-consultant
person-0176,role-consultant
person-0177,role-consultant
person-0178,role-consultant
person-0179,role-consultant
person-0180,role-consultant
person-0181,role-consultant
person-0182,role-consultant
person-0183,role-consultant
person-0184,role-consultant
person-0185,role-consultant
person-0186,role-consultant
person-0187,role-consultant
person-0188,role-consultant
person-0189,role-consultant
person-0190,role-consultant
person-0191,role-consultant
person-0192,role-consultant
person-0193,role-consultant
person-0194,role-consultant
person-0195,role-consultant
person-0196,role-consultant
person-0197,role-consultant
person-0198,role-consultant
person-0199,role-consultant
person-0200,role-consultant
person-0201,role-consultant
person-0202,role-consultant
person-0203,role-consultant
person-0204,role-consultant
person-0205,role-consultant
person-0206,role-consultant
person-0207,role-consultant
person-0208,role-consultant
person-0209,role-consultant
person-0210,role-consultant
person-0211,role-consultant
person-0212,role-consultant
person-0213,role-consultant
person-0214,role-consultant
person-0215,role-consultant
person-0216,role-consultant
person-0217,role-consultant
person-0218,role-consultant
person-0219,role-consultant
person-0220,role-consultant
person-0221,role-consultant
person-0222,role-consultant
person-0223,role-consultant
person-0224,role-consultant
person-0225,role-consultant
person-0226,role-consultant
person-0227,role-consultant
person-0228,role-consultant
person-0229,role-consultant
person-0230,role-consultant
person-0231,role-consultant
person-0232,role-consultant
person-0233,role-consultant
person-0234,role-consultant
person-0235,role-consultant
person-0236,role-consultant
person-0237,role-consultant
person-0238,role-consultant
person-0239,role-consultant
person-0240,role-consultant
person-0241,role-consultant
person-0242,role-consultant
person-0243,role-consultant
person-0244,role-consultant
person-0245,role-consultant
person-0246,role-consultant
person-0247,role-consultant
person-0248,role-consultant
person-0249,role-consultant
person-0250,role-consultant
person-0251,role-consultant
person-0252,role-consultant
person-0253,role-consultant
person-0254,role-consultant
person-0255,role-consultant
person-0256,role-consultant
person-0257,role-consultant
person-0258,role-consultant
person-0259,role-consultant
person-0260,role-consultant
person-0261,role-consultant
person-0262,role-consultant
person-0263,role-consultant
person-0264,role-consultant
person-0265,role-consultant
person-0076,role-senior-consultant
person-0077,role-senior-consultant
person-0078,role-senior-consultant
person-0079,role-senior-consultant
person-0080,role-senior-consultant
person-0081,role-senior-consultant
person-0082,role-senior-consultant
person-0083,role-senior-consultant
person-0084,role-senior-consultant
person-0085,role-senior-consultant
person-0086,role-senior-consultant
person-0087,role-senior-consultant
person-0088,role-senior-consultant
person-0089,role-senior-consultant
person-0090,role-senior-consultant
person-0091,role-senior-consultant
person-0092,role-senior-consultant
person-0093,role-senior-consultant
person-0094,role-senior-consultant
person-0095,role-senior-consultant
person-0096,role-senior-consultant
person-0097,role-senior-consultant
person-0098,role-senior-consultant
person-0099,role-senior-consultant
person-0100,role-senior-consultant
person-0101,role-senior-consultant
person-0102,role-senior-consultant
person-0103,role-senior-consultant
person-0104,role-senior-consultant
person-0105,role-senior-consultant
person-0106,role-senior-consultant
person-0107,role-senior-consultant
person-0108,role-senior-consultant
person-0109,role-senior-consultant
person-0110,role-senior-consultant
person-0111,role-senior-consultant
person-0112,role-senior-consultant
person-0113,role-senior-consultant
person-0114,role-senior-consultant
person-0115,role-senior-consultant
person-0116,role-senior-consultant
person-0117,role-senior-consultant
person-0118,role-senior-consultant
person-0119,role-senior-consultant
person-0120,role-senior-consultant
person-0121,role-senior-consultant
person-0122,role-senior-consultant
person-0123,role-senior-consultant
person-0124,role-senior-consultant
person-0125,role-senior-consultant
person-0126,role-senior-consultant
person-0127,role-senior-consultant
person-0128,role-senior-consultant
person-0129,role-senior-consultant
person-0130,role-senior-consultant
person-0131,role-senior-consultant
person-0132,role-senior-consultant
person-0133,role-senior-consultant
person-0134,role-senior-consultant
person-0135,role-senior-consultant
person-0136,role-senior-consultant
person-0137,role-senior-consultant
person-0138,role-senior-consultant
person-0139,role-senior-consultant
person-0140,role-senior-consultant
person-0141,role-senior-consultant
person-0142,role-senior-consultant
person-0143,role-senior-consultant
person-0144,role-senior-consultant
person-0145,role-senior-consultant
person-0146,role-senior-consultant
person-0147,role-senior-consultant
person-0148,role-senior-consultant
person-0149,role-senior-consultant
person-0150,role-senior-consultant
person-0151,role-senior-consultant
person-0152,role-senior-consultant
person-0153,role-senior-consultant
person-0154,role-senior-consultant
person-0155,role-senior-consultant
person-0036,role-manager
person-0037,role-manager
person-0038,role-manager
person-0039,role-manager
person-0040,role-manager
person-0041,role-manager
person-0042,role-manager
person-0043,role-manager
person-0044,role-manager
person-0045,role-manager
person-0046,role-manager
person-0047,role-manager
person-0048,role-manager
person-0049,role-manager
person-0050,role-manager
person-0051,role-manager
person-0052,role-manager
person-0053,role-manager
person-0054,role-manager
person-0055,role-manager
person-0056,role-manager
person-0057,role-manager
person-0058,role-manager
person-0059,role-manager
person-0060,role-manager
person-0061,role-manager
person-0062,role-manager
person-0063,role-manager
person-0064,role-manager
person-0065,role-manager
person-0066,role-manager
person-0067,role-manager
person-0068,role-manager
person-0069,role-manager
person-0070,role-manager
person-0071,role-manager
person-0072,role-manager
person-0073,role-manager
person-0074,role-manager
person-0075,role-manager
person-0016,role-senior-manager
person-0017,role-senior-manager
person-0018,role-senior-manager
person-0019,role-senior-manager
person-0020,role-senior-manager
person-0021,role-senior-manager
person-0022,role-senior-manager
person-0023,role-senior-manager
person-0024,role-senior-manager
person-0025,role-senior-manager
person-0026,role-senior-manager
person-0027,role-senior-manager
person-0028,role-senior-manager
person-0029,role-senior-manager
person-0030,role-senior-manager
person-0031,role-senior-manager
person-0032,role-senior-manager
person-0033,role-senior-manager
person-0034,role-senior-manager
person-0035,role-senior-manager
person-0006,role-director
person-0007,role-director
person-0008,role-director
person-0009,role-director
person-0010,role-director
person-0011,role-director
person-0012,role-director
person-0013,role-director
person-0014,role-director
person-0015,role-director
person-0001,role-partner
person-0002,role-partner
person-0003,role-partner
person-0004,role-partner
person-0005,role-partner
person-0000,role-managing-partner
person-0370,role-consultant
person-0371,role-analyst
person-0372,role-consultant
person-0373,role-analyst
person-0374,role-analyst
person-0375,role-analyst
person-0376,role-consultant
person-0377,role-analyst
person-0378,role-analyst
person-0379,role-consultant
person-0380,role-consultant
person-0381,role-consultant
person-0382,role-consultant
person-0383,role-consultant
person-0384,role-consultant
person-0385,role-analyst
person-0386,role-consultant
person-0387,role-consultant
person-0388,role-consultant
person-0389,role-analyst
person-0390,role-consultant
person-0391,role-consultant
person-0392,role-consultant
person-0393,role-consultant
person-0394,role-consultant
person-0395,role-consultant
person-0396,role-consultant
person-0397,role-analyst
person-0398,role-consultant
person-0399,role-analyst
