from_id,to_id
journey-cloud-new-hire,stage-cloud-preboard
journey-cloud-new-hire,stage-cloud-day_1
journey-cloud-new-hire,stage-cloud-week_1
journey-cloud-new-hire,stage-cloud-day_30
journey-cloud-new-hire,stage-cloud-day_60
journey-cloud-new-hire,stage-cloud-day_90
journey-data-new-hire,stage-data-preboard
journey-data-new-hire,stage-data-day_1
journey-data-new-hire,stage-data-week_1
journey-data-new-hire,stage-data-day_30
journey-data-new-hire,stage-data-day_60
journey-data-new-hire,stage-data-day_90
journey-cyber-new-hire,stage-cyber-preboard
journey-cyber-new-hire,stage-cyber-day_1
journey-cyber-new-hire,stage-cyber-week_1
journey-cyber-new-hire,stage-cyber-day_30
journey-cyber-new-hire,stage-cyber-day_60
journey-cyber-new-hire,stage-cyber-day_90
journey-strategy-new-hire,stage-strategy-preboard
journey-strategy-new-hire,stage-strategy-day_1
journey-strategy-new-hire,stage-strategy-week_1
journey-strategy-new-hire,stage-strategy-day_30
journey-strategy-new-hire,stage-strategy-day_60
journey-strategy-new-hire,stage-strategy-day_90
journey-appdev-new-hire,stage-appdev-preboard
journey-appdev-new-hire,stage-appdev-day_1
journey-appdev-new-hire,stage-appdev-week_1
journey-appdev-new-hire,stage-appdev-day_30
journey-appdev-new-hire,stage-appdev-day_60
journey-appdev-new-hire,stage-appdev-day_90
