from_id,to_id
stage-cloud-preboard,task-stage-cloud-preboard-00
stage-cloud-preboard,task-stage-cloud-preboard-01
stage-cloud-preboard,task-stage-cloud-preboard-02
stage-cloud-preboard,task-stage-cloud-preboard-03
stage-cloud-preboard,task-stage-cloud-preboard-04
stage-cloud-day_1,task-stage-cloud-day_1-00
stage-cloud-day_1,task-stage-cloud-day_1-01
stage-cloud-day_1,task-stage-cloud-day_1-02
stage-cloud-day_1,task-stage-cloud-day_1-03
stage-cloud-day_1,task-stage-cloud-day_1-04
stage-cloud-week_1,task-stage-cloud-week_1-00
stage-cloud-week_1,task-stage-cloud-week_1-01
stage-cloud-week_1,task-stage-cloud-week_1-02
stage-cloud-week_1,task-stage-cloud-week_1-03
stage-cloud-week_1,task-stage-cloud-week_1-04
stage-cloud-day_30,task-stage-cloud-day_30-00
stage-cloud-day_30,task-stage-cloud-day_30-01
stage-cloud-day_30,task-stage-cloud-day_30-02
stage-cloud-day_30,task-stage-cloud-day_30-03
stage-cloud-day_60,task-stage-cloud-day_60-00
stage-cloud-day_60,task-stage-cloud-day_60-01
stage-cloud-day_60,task-stage-cloud-day_60-02
stage-cloud-day_90,task-stage-cloud-day_90-00
stage-cloud-day_90,task-stage-cloud-day_90-01
stage-cloud-day_90,task-stage-cloud-day_90-02
stage-data-preboard,task-stage-data-preboard-00
stage-data-preboard,task-stage-data-preboard-01
stage-data-preboard,task-stage-data-preboard-02
stage-data-preboard,task-stage-data-preboard-03
stage-data-preboard,task-stage-data-preboard-04
stage-data-day_1,task-stage-data-day_1-00
stage-data-day_1,task-stage-data-day_1-01
stage-data-day_1,task-stage-data-day_1-02
stage-data-day_1,task-stage-data-day_1-03
stage-data-day_1,task-stage-data-day_1-04
stage-data-week_1,task-stage-data-week_1-00
stage-data-week_1,task-stage-data-week_1-01
stage-data-week_1,task-stage-data-week_1-02
stage-data-week_1,task-stage-data-week_1-03
stage-data-week_1,task-stage-data-week_1-04
stage-data-day_30,task-stage-data-day_30-00
stage-data-day_30,task-stage-data-day_30-01
stage-data-day_30,task-stage-data-day_30-02
stage-data-day_30,task-stage-data-day_30-03
stage-data-day_60,task-stage-data-day_60-00
stage-data-day_60,task-stage-data-day_60-01
stage-data-day_60,task-stage-data-day_60-02
stage-data-day_90,task-stage-data-day_90-00
stage-data-day_90,task-stage-data-day_90-01
stage-data-day_90,task-stage-data-day_90-02
stage-cyber-preboard,task-stage-cyber-preboard-00
stage-cyber-preboard,task-stage-cyber-preboard-01
stage-cyber-preboard,task-stage-cyber-preboard-02
stage-cyber-preboard,task-stage-cyber-preboard-03
stage-cyber-preboard,task-stage-cyber-preboard-04
stage-cyber-day_1,task-stage-cyber-day_1-00
stage-cyber-day_1,task-stage-cyber-day_1-01
stage-cyber-day_1,task-stage-cyber-day_1-02
stage-cyber-day_1,task-stage-cyber-day_1-03
stage-cyber-day_1,task-stage-cyber-day_1-04
stage-cyber-week_1,task-stage-cyber-week_1-00
stage-cyber-week_1,task-stage-cyber-week_1-01
stage-cyber-week_1,task-stage-cyber-week_1-02
stage-cyber-week_1,task-stage-cyber-week_1-03
stage-cyber-week_1,task-stage-cyber-week_1-04
stage-cyber-day_30,task-stage-cyber-day_30-00
stage-cyber-day_30,task-stage-cyber-day_30-01
stage-cyber-day_30,task-stage-cyber-day_30-02
stage-cyber-day_30,task-stage-cyber-day_30-03
stage-cyber-day_60,task-stage-cyber-day_60-00
stage-cyber-day_60,task-stage-cyber-day_60-01
stage-cyber-day_60,task-stage-cyber-day_60-02
stage-cyber-day_90,task-stage-cyber-day_90-00
stage-cyber-day_90,task-stage-cyber-day_90-01
stage-cyber-day_90,task-stage-cyber-day_90-02
stage-strategy-preboard,task-stage-strategy-preboard-00
stage-strategy-preboard,task-stage-strategy-preboard-01
stage-strategy-preboard,task-stage-strategy-preboard-02
stage-strategy-preboard,task-stage-strategy-preboard-03
stage-strategy-preboard,task-stage-strategy-preboard-04
stage-strategy-day_1,task-stage-strategy-day_1-00
stage-strategy-day_1,task-stage-strategy-day_1-01
stage-strategy-day_1,task-stage-strategy-day_1-02
stage-strategy-day_1,task-stage-strategy-day_1-03
stage-strategy-day_1,task-stage-strategy-day_1-04
stage-strategy-week_1,task-stage-strategy-week_1-00
stage-strategy-week_1,task-stage-strategy-week_1-01
stage-strategy-week_1,task-stage-strategy-week_1-02
stage-strategy-week_1,task-stage-strategy-week_1-03
stage-strategy-week_1,task-stage-strategy-week_1-04
stage-strategy-day_30,task-stage-strategy-day_30-00
stage-strategy-day_30,task-stage-strategy-day_30-01
stage-strategy-day_30,task-stage-strategy-day_30-02
stage-strategy-day_30,task-stage-strategy-day_30-03
stage-strategy-day_60,task-stage-strategy-day_60-00
