from_id,to_id
person-0266,team-finops-governance
person-0267,team-data-engineering
person-0268,team-grc-compliance
person-0269,team-m-a-advisory
person-0270,team-devsecops
person-0271,team-cloud-infrastructure
person-0272,team-analytics-bi
person-0273,team-identity-access
person-0274,team-m-a-advisory
person-0275,team-platform-engineering
person-0276,team-cloud-architecture
person-0277,team-ml-ai
person-0278,team-grc-compliance
person-0279,team-pmo-delivery
person-0280,team-devsecops
person-0281,team-cloud-architecture
person-0282,team-data-engineering
person-0283,team-identity-access
person-0284,team-m-a-advisory
person-0285,team-mobile-ux
person-0286,team-finops-governance
person-0287,team-ml-ai
person-0288,team-red-team
person-0289,team-digital-strategy
person-0290,team-mobile-ux
person-0291,team-cloud-migration
person-0292,team-analytics-bi
person-0293,team-red-team
person-0294,team-org-transformation
person-0295,team-devsecops
person-0296,team-cloud-infrastructure
person-0297,team-analytics-bi
person-0298,team-grc-compliance
person-0299,team-digital-strategy
person-0300,team-devsecops
person-0301,team-cloud-migration
person-0302,team-data-governance
person-0303,team-grc-compliance
person-0304,team-m-a-advisory
person-0305,team-mobile-ux
person-0306,team-finops-governance
person-0307,team-analytics-bi
person-0308,team-grc-compliance
person-0309,team-pmo-delivery
person-0310,team-platform-engineering
person-0311,team-finops-governance
person-0312,team-ml-ai
person-0313,team-identity-access
person-0314,team-m-a-advisory
person-0315,team-mobile-ux
person-0316,team-cloud-migration
person-0317,team-data-governance
person-0318,team-identity-access
person-0319,team-pmo-delivery
person-0320,team-devsecops
person-0321,team-cloud-migration
person-0322,team-data-governance
person-0323,team-grc-compliance
person-0324,team-digital-strategy
person-0325,team-platform-engineering
person-0326,team-cloud-architecture
person-0327,team-data-engineering
person-0328,team-red-team
person-0329,team-org-transformation
person-0330,team-devsecops
person-0331,team-cloud-migration
person-0332,team-data-engineering
person-0333,team-red-team
person-0334,team-m-a-advisory
person-0335,team-platform-engineering
person-0336,team-cloud-migration
person-0337,team-analytics-bi
person-0338,team-grc-compliance
person-0339,team-org-transformation
person-0340,team-devsecops
person-0341,team-finops-governance
person-0342,team-data-engineering
person-0343,team-red-team
person-0344,team-m-a-advisory
person-0345,team-devsecops
person-0346,team-finops-governance
person-0347,team-data-engineering
person-0348,team-grc-compliance
person-0349,team-digital-strategy
person-0350,team-full-stack-engineering
person-0351,team-cloud-architecture
person-0352,team-ml-ai
person-0353,team-identity-access
person-0354,team-digital-strategy
person-0355,team-devsecops
person-0356,team-cloud-migration
person-0357,team-data-governance
person-0358,team-security-operations
person-0359,team-digital-strategy
person-0360,team-full-stack-engineering
person-0361,team-cloud-migration
person-0362,team-analytics-bi
person-0363,team-identity-access
person-0364,team-m-a-advisory
person-0365,team-mobile-ux
person-0366,team-finops-governance
person-0367,team-data-governance
person-0368,team-identity-access
person-0369,team-pmo-delivery
person-0156,team-cloud-infrastructure
person-0157,team-data-governance
person-0158,team-security-operations
person-0159,team-pmo-delivery
person-0160,team-devsecops
person-0161,team-cloud-infrastructure
person-0162,team-data-engineering
person-0163,team-identity-access
person-0164,team-pmo-delivery
person-0165,team-mobile-ux
