from_id,to_id
person-0266,community-008
person-0266,community-003
person-0266,community-006
person-0267,community-010
person-0267,community-009
person-0268,community-006
person-0268,community-005
person-0268,community-008
person-0270,community-011
person-0270,community-008
person-0270,community-006
person-0271,community-004
person-0274,community-009
person-0274,community-000
person-0274,community-004
person-0275,community-008
person-0275,community-011
person-0276,community-006
person-0276,community-004
person-0277,community-000
person-0277,community-007
person-0278,community-011
person-0278,community-001
person-0278,community-003
person-0279,community-005
person-0279,community-006
person-0280,community-006
person-0281,community-000
person-0281,community-002
person-0281,community-003
person-0282,community-008
person-0283,community-009
person-0283,community-003
person-0283,community-007
person-0285,community-010
person-0285,community-000
person-0286,community-003
person-0286,community-006
person-0286,community-007
person-0287,community-008
person-0288,community-006
person-0288,community-001
person-0288,community-009
person-0289,community-005
person-0289,community-006
person-0290,community-002
person-0292,community-001
person-0292,community-011
person-0293,community-002
person-0293,community-001
person-0296,community-002
person-0297,community-000
person-0298,community-001
person-0298,community-000
person-0299,community-006
person-0300,community-007
person-0300,community-002
person-0302,community-010
person-0303,community-005
person-0303,community-009
person-0304,community-003
person-0304,community-000
person-0304,community-004
person-0305,community-010
person-0306,community-005
person-0306,community-002
person-0307,community-011
person-0307,community-005
person-0307,community-009
person-0308,community-001
person-0309,community-000
person-0309,community-005
person-0310,community-009
person-0312,community-006
person-0312,community-010
person-0312,community-007
person-0313,community-011
person-0313,community-004
person-0314,community-009
person-0315,community-011
person-0315,community-001
person-0316,community-010
person-0316,community-011
person-0316,community-005
person-0317,community-004
person-0317,community-001
person-0318,community-006
person-0318,community-005
person-0319,community-000
person-0320,community-002
person-0320,community-006
person-0321,community-000
person-0321,community-006
person-0321,community-002
person-0323,community-006
person-0324,community-004
person-0325,community-010
person-0327,community-005
person-0327,community-002
person-0328,community-009
person-0328,community-000
person-0329,community-003
person-0329,community-008
person-0329,community-000
person-0330,community-004
person-0330,community-001
person-0333,community-001
person-0333,community-011
person-0333,community-006
person-0334,community-008
person-0334,community-006
person-0334,community-001
person-0335,community-001
person-0335,community-004
person-0335,community-008
person-0336,community-002
person-0337,community-011
person-0337,community-003
person-0340,community-003
person-0340,community-006
person-0341,community-008
person-0341,community-006
person-0341,community-002
person-0343,community-003
person-0343,community-004
person-0343,community-005
person-0344,community-005
person-0345,community-005
person-0345,community-002
person-0346,community-003
person-0346,community-011
person-0346,community-010
person-0348,community-009
person-0348,community-004
person-0349,community-004
person-0349,community-010
person-0350,community-005
person-0350,community-008
person-0350,community-009
person-0351,community-010
person-0351,community-005
person-0352,community-000
person-0353,community-006
person-0353,community-011
person-0354,community-005
person-0354,community-008
person-0354,community-004
person-0355,community-011
person-0356,community-003
person-0356,community-004
person-0358,community-010
person-0359,community-003
person-0360,community-005
person-0360,community-010
person-0361,community-003
person-0361,community-002
person-0362,community-007
person-0362,community-006
person-0363,community-005
person-0364,community-002
person-0364,community-001
person-0365,community-004
person-0365,community-007
person-0366,community-002
person-0368,community-000
person-0368,community-009
person-0368,community-011
person-0369,community-008
person-0157,community-009
person-0157,community-001
person-0157,community-004
person-0158,community-004
person-0161,community-001
person-0161,community-011
person-0161,community-004
person-0162,community-000
person-0163,community-000
person-0165,community-007
person-0165,community-004
person-0167,community-007
person-0167,community-009
person-0167,community-011
person-0168,community-001
person-0168,community-006
person-0169,community-009
person-0169,community-011
person-0169,community-003
person-0170,community-008
person-0171,community-007
person-0172,community-008
person-0174,community-010
person-0174,community-000
person-0174,community-001
person-0175,community-008
person-0175,community-003
person-0175,community-007
person-0176,community-009
person-0176,community-007
person-0176,community-005
