from_id,to_id
person-0036,person-0086
person-0037,person-0262
person-0038,person-0173
person-0039,person-0239
person-0040,person-0240
person-0041,person-0211
person-0042,person-0107
person-0043,person-0178
person-0044,person-0124
person-0045,person-0220
person-0046,person-0091
person-0047,person-0212
person-0048,person-0123
person-0049,person-0189
person-0050,person-0205
person-0051,person-0136
person-0052,person-0102
person-0053,person-0223
person-0054,person-0189
person-0055,person-0110
person-0056,person-0236
person-0057,person-0187
person-0058,person-0168
person-0059,person-0179
person-0060,person-0180
person-0061,person-0146
person-0062,person-0237
person-0063,person-0108
person-0064,person-0164
person-0065,person-0125
person-0066,person-0201
person-0067,person-0157
person-0068,person-0168
person-0069,person-0089
person-0070,person-0245
person-0071,person-0201
person-0072,person-0262
person-0073,person-0093
person-0074,person-0149
person-0075,person-0160
