from_id,to_id
team-cloud-infrastructure,practice-cloud
team-cloud-architecture,practice-cloud
team-cloud-migration,practice-cloud
team-finops-governance,practice-cloud
team-data-engineering,practice-data
team-analytics-bi,practice-data
team-ml-ai,practice-data
team-data-governance,practice-data
team-security-operations,practice-cyber
team-identity-access,practice-cyber
team-grc-compliance,practice-cyber
team-red-team,practice-cyber
team-digital-strategy,practice-strategy
team-org-transformation,practice-strategy
team-pmo-delivery,practice-strategy
team-m-a-advisory,practice-strategy
team-full-stack-engineering,practice-appdev
team-platform-engineering,practice-appdev
team-mobile-ux,practice-appdev
team-devsecops,practice-appdev
