from_id,to_id
person-0370,milestone-it-ready
person-0371,milestone-it-ready
person-0372,milestone-it-ready
person-0372,milestone-first-call
person-0373,milestone-it-ready
person-0373,milestone-first-call
person-0374,milestone-it-ready
person-0375,milestone-it-ready
person-0376,milestone-it-ready
person-0376,milestone-first-call
person-0377,milestone-it-ready
person-0377,milestone-first-call
person-0378,milestone-it-ready
person-0379,milestone-it-ready
person-0379,milestone-first-call
person-0380,milestone-it-ready
person-0380,milestone-first-call
person-0381,milestone-it-ready
person-0382,milestone-it-ready
person-0383,milestone-it-ready
person-0384,milestone-it-ready
person-0384,milestone-first-call
person-0385,milestone-it-ready
person-0385,milestone-first-call
person-0386,milestone-it-ready
person-0387,milestone-it-ready
person-0388,milestone-it-ready
person-0388,milestone-first-call
person-0389,milestone-it-ready
