from_id,to_id
person-0001,person-0000
person-0002,person-0000
person-0003,person-0000
person-0004,person-0000
person-0005,person-0000
person-0006,person-0004
person-0007,person-0005
person-0008,person-0002
person-0009,person-0003
person-0010,person-0002
person-0011,person-0005
person-0012,person-0003
person-0013,person-0003
person-0014,person-0003
person-0015,person-0005
person-0016,person-0006
person-0017,person-0012
person-0018,person-0007
person-0019,person-0006
person-0020,person-0010
person-0021,person-0006
person-0022,person-0009
person-0023,person-0007
person-0024,person-0015
person-0025,person-0010
person-0026,person-0009
person-0027,person-0006
person-0028,person-0007
person-0029,person-0015
person-0030,person-0012
person-0031,person-0007
person-0032,person-0009
person-0033,person-0013
person-0034,person-0009
person-0035,person-0008
person-0036,person-0025
person-0037,person-0031
person-0038,person-0017
person-0039,person-0021
person-0040,person-0023
person-0041,person-0035
person-0042,person-0022
person-0043,person-0026
person-0044,person-0033
person-0045,person-0027
person-0046,person-0032
person-0047,person-0024
person-0048,person-0026
person-0049,person-0018
person-0050,person-0024
person-0051,person-0018
person-0052,person-0020
person-0053,person-0027
person-0054,person-0035
person-0055,person-0016
person-0056,person-0023
person-0057,person-0023
person-0058,person-0023
person-0059,person-0027
person-0060,person-0024
person-0061,person-0027
person-0062,person-0022
person-0063,person-0022
person-0064,person-0019
person-0065,person-0033
person-0066,person-0035
person-0067,person-0034
person-0068,person-0021
person-0069,person-0025
person-0070,person-0035
person-0071,person-0028
person-0072,person-0029
person-0073,person-0023
person-0074,person-0035
person-0075,person-0029
person-0076,person-0053
person-0077,person-0053
person-0078,person-0045
person-0079,person-0049
person-0080,person-0060
person-0081,person-0070
person-0082,person-0061
person-0083,person-0061
person-0084,person-0052
person-0085,person-0053
person-0086,person-0058
person-0087,person-0051
person-0088,person-0043
person-0089,person-0043
person-0090,person-0060
person-0091,person-0042
person-0092,person-0058
person-0093,person-0067
person-0094,person-0045
person-0095,person-0066
person-0096,person-0041
person-0097,person-0057
person-0098,person-0057
person-0099,person-0041
person-0100,person-0067
person-0101,person-0055
person-0102,person-0057
person-0103,person-0048
person-0104,person-0049
person-0105,person-0042
person-0106,person-0044
person-0107,person-0067
person-0108,person-0039
person-0109,person-0039
person-0110,person-0043
person-0111,person-0064
person-0112,person-0039
person-0113,person-0051
person-0114,person-0066
person-0115,person-0040
person-0116,person-0063
person-0117,person-0040
person-0118,person-0064
person-0119,person-0070
person-0120,person-0074
person-0121,person-0073
person-0122,person-0066
person-0123,person-0041
person-0124,person-0057
person-0125,person-0038
person-0126,person-0068
person-0127,person-0059
person-0128,person-0054
person-0129,person-0046
person-0130,person-0065
person-0131,person-0053
person-0132,person-0060
person-0133,person-0062
person-0134,person-0073
person-0135,person-0060
person-0136,person-0050
person-0137,person-0060
person-0138,person-0042
person-0139,person-0045
person-0140,person-0041
person-0141,person-0067
person-0142,person-0041
person-0143,person-0055
person-0144,person-0045
person-0145,person-0041
person-0146,person-0065
person-0147,person-0070
person-0148,person-0063
person-0149,person-0042
person-0150,person-0037
person-0151,person-0074
person-0152,person-0058
person-0153,person-0044
person-0154,person-0059
person-0155,person-0044
person-0156,person-0113
person-0157,person-0126
person-0158,person-0123
person-0159,person-0105
person-0160,person-0104
person-0161,person-0090
person-0162,person-0106
person-0163,person-0129
person-0164,person-0080
person-0165,person-0123
person-0166,person-0087
person-0167,person-0107
person-0168,person-0151
person-0169,person-0076
person-0170,person-0079
person-0171,person-0098
person-0172,person-0136
person-0173,person-0154
person-0174,person-0079
person-0175,person-0132
person-0176,person-0150
person-0177,person-0131
person-0178,person-0103
person-0179,person-0129
person-0180,person-0136
person-0181,person-0123
person-0182,person-0091
person-0183,person-0082
person-0184,person-0137
person-0185,person-0149
person-0186,person-0154
person-0187,person-0110
person-0188,person-0127
person-0189,person-0103
person-0190,person-0148
person-0191,person-0110
person-0192,person-0141
person-0193,person-0143
person-0194,person-0114
person-0195,person-0139
person-0196,person-0121
person-0197,person-0116
person-0198,person-0078
person-0199,person-0087
person-0200,person-0126
person-0201,person-0090
person-0202,person-0106
person-0203,person-0085
person-0204,person-0133
person-0205,person-0114
person-0206,person-0080
person-0207,person-0154
person-0208,person-0133
person-0209,person-0089
person-0210,person-0132
person-0211,person-0125
person-0212,person-0118
person-0213,person-0153
person-0214,person-0126
person-0215,person-0118
person-0216,person-0087
person-0217,person-0119
person-0218,person-0140
person-0219,person-0095
person-0220,person-0132
person-0221,person-0112
person-0222,person-0100
person-0223,person-0124
person-0224,person-0082
person-0225,person-0112
person-0226,person-0087
person-0227,person-0126
person-0228,person-0088
person-0229,person-0093
person-0230,person-0095
person-0231,person-0129
person-0232,person-0141
person-0233,person-0149
person-0234,person-0143
person-0235,person-0108
person-0236,person-0089
person-0237,person-0135
person-0238,person-0080
person-0239,person-0141
person-0240,person-0112
person-0241,person-0131
person-0242,person-0139
person-0243,person-0130
person-0244,person-0089
person-0245,person-0097
person-0246,person-0131
person-0247,person-0127
person-0248,person-0153
person-0249,person-0125
person-0250,person-0085
person-0251,person-0079
person-0252,person-0133
person-0253,person-0093
person-0254,person-0116
person-0255,person-0098
person-0256,person-0139
person-0257,person-0092
person-0258,person-0128
person-0259,person-0133
person-0260,person-0151
person-0261,person-0091
person-0262,person-0142
person-0263,person-0092
person-0264,person-0095
person-0265,person-0081
person-0266,person-0209
person-0267,person-0130
person-0268,person-0174
person-0269,person-0192
person-0270,person-0189
person-0271,person-0081
person-0272,person-0263
person-0273,person-0196
person-0274,person-0256
person-0275,person-0118
person-0276,person-0152
person-0277,person-0205
person-0278,person-0227
person-0279,person-0108
person-0280,person-0167
person-0281,person-0121
person-0282,person-0155
person-0283,person-0110
person-0284,person-0115
person-0285,person-0087
person-0286,person-0169
person-0287,person-0193
person-0288,person-0236
person-0289,person-0086
person-0290,person-0088
person-0291,person-0246
person-0292,person-0213
person-0293,person-0088
person-0294,person-0112
person-0295,person-0166
person-0296,person-0088
person-0297,person-0191
person-0298,person-0213
person-0299,person-0191
person-0300,person-0088
person-0301,person-0132
person-0302,person-0262
person-0303,person-0230
person-0304,person-0228
person-0305,person-0085
person-0306,person-0221
person-0307,person-0200
person-0308,person-0203
person-0309,person-0080
person-0310,person-0248
person-0311,person-0094
person-0312,person-0212
person-0313,person-0262
person-0314,person-0140
person-0315,person-0184
person-0316,person-0198
person-0317,person-0179
person-0318,person-0170
person-0319,person-0211
person-0320,person-0173
person-0321,person-0152
person-0322,person-0252
person-0323,person-0186
person-0324,person-0161
person-0325,person-0219
person-0326,person-0164
