from_id,to_id,new_hire_id
task-stage-cloud-preboard-00,person-0370,person-0370
task-stage-cloud-preboard-01,person-0039,person-0370
task-stage-cloud-preboard-02,person-0370,person-0370
task-stage-cloud-preboard-03,person-0036,person-0370
task-stage-cloud-preboard-04,person-0196,person-0370
task-stage-cloud-day_1-00,person-0040,person-0370
task-stage-cloud-day_1-01,person-0040,person-0370
task-stage-cloud-day_1-02,person-0036,person-0370
task-stage-cloud-day_1-03,person-0196,person-0370
task-stage-cloud-day_1-04,person-0370,person-0370
task-stage-cloud-week_1-00,person-0370,person-0370
task-stage-cloud-week_1-01,person-0370,person-0370
task-stage-cloud-week_1-02,person-0036,person-0370
task-stage-cloud-week_1-03,person-0038,person-0370
task-stage-cloud-week_1-04,person-0036,person-0370
task-stage-cloud-day_30-00,person-0036,person-0370
task-stage-cloud-day_30-01,person-0370,person-0370
task-stage-cloud-day_30-02,person-0370,person-0370
task-stage-cloud-day_30-03,person-0370,person-0370
task-stage-cloud-day_60-00,person-0036,person-0370
task-stage-cloud-day_60-01,person-0036,person-0370
task-stage-cloud-day_60-02,person-0370,person-0370
task-stage-cloud-day_90-00,person-0036,person-0370
task-stage-cloud-day_90-01,person-0370,person-0370
task-stage-cloud-day_90-02,person-0370,person-0370
task-stage-data-preboard-00,person-0371,person-0371
task-stage-data-preboard-01,person-0039,person-0371
task-stage-data-preboard-02,person-0371,person-0371
task-stage-data-preboard-03,person-0036,person-0371
task-stage-data-preboard-04,person-0187,person-0371
task-stage-data-day_1-00,person-0039,person-0371
task-stage-data-day_1-01,person-0037,person-0371
task-stage-data-day_1-02,person-0042,person-0371
task-stage-data-day_1-03,person-0187,person-0371
task-stage-data-day_1-04,person-0371,person-0371
task-stage-data-week_1-00,person-0371,person-0371
task-stage-data-week_1-01,person-0371,person-0371
task-stage-data-week_1-02,person-0042,person-0371
task-stage-data-week_1-03,person-0037,person-0371
task-stage-data-week_1-04,person-0042,person-0371
task-stage-data-day_30-00,person-0042,person-0371
